,mmMYOD1,siPRRX1,siPRRX1/mmMYOD1
0,MYOD1,H1-3,MYOD1
1,ESR1,H1-4,OASL
2,DPF3,ZSCAN30,HAS2
3,HAS2,PLCG1,ZSCAN30
4,HDAC9,SEMA3A,H1-4
5,ZSCAN30,PPP2R1A,ISG20
6,ATF3,MEIS1,H1-3
7,H1-3,FAF1,RSAD2
8,NAV3,GMNN,SEMA3A
9,OASL,LAMA2,TNFSF10
10,SMURF2,DCBLD2,NAV3
11,H1-4,SMURF2,SMURF2
12,PMAIP1,STARD13,KCNQ5
13,STARD13,SH3D19,IFIT2
14,RSAD2,H1-2,FAF1
15,PHACTR1,NFAT5,STARD13
16,KCNQ5,INPP4B,PMAIP1
17,ISG20,PACS1,DCBLD2
18,IFIT2,PPP2R3A,IFI27
19,GADD45A,SGIP1,PLAAT4
20,IL32,TTC17,C15orf48
21,SEMA3A,FMN2,NFAT5
22,PLK2,PDGFC,TNFSF13B
23,H2AC6,MDM2,DIP2B
24,TAF1D,DPYD,SH3D19
25,DDIT3,PEG10,RPS6KC1
26,THUMPD2,NAV3,PDE4B
27,DCBLD2,STXBP5,PHACTR1
28,NFAT5,DCLK2,BST2
29,TXNIP,PPP6R2,MED13L
30,ABL2,SSH2,MYPN
31,RASAL2,RFX7,MEIS1
32,POU2F2,MED13L,SMURF1
33,SH3D19,NLGN1,GMNN
34,FAF1,WDFY3,PDGFC
35,C15orf48,HERC1,OAS1
36,MYPN,SETD5,SGIP1
37,PDGFC,TNKS,ABL2
38,DIP2B,SLIT2,TTC17
39,PPP1R15A,ADIRF,SIPA1L3
40,CDH13,ARL17B,DPYD
41,SMURF1,KLF12,SSH2
42,NFKB1,ACACA,LAMA2
43,RUNX1,SIPA1L3,FRMD5
44,PDE4B,SCFD2,H1-2
45,YAE1,TSC22D2,DNMBP
46,SIPA1L3,GBF1,TENT2
47,TTC17,KCNMA1,FMN2
48,SSH2,FRMD4A,TSC22D2
49,NAV2,HMGA2,RASAL2
