,mmMYOD1,siPRRX1,siPRRX1/mmMYOD1
0,SERPINE2,NUPR1,SERPINE2
1,DCN,CST3,DCN
2,COL1A2,COL6A2,COL1A1
3,COL1A1,NREP,MMP2
4,TIMP1,SERPINE2,COL6A2
5,CST3,MMP2,TIMP1
6,COL6A2,TIMP1,CST3
7,CALU,CTSK,CTSK
8,MZT2B,AEBP1,COL1A2
9,COL6A1,FAP,LUM
10,NPC2,DCN,COL4A2
11,TAGLN,COL1A1,COL3A1
12,CTSB,IFIT2,COL6A1
13,APP,GREM1,NREP
14,DSTN,NNMT,PCOLCE
15,ITM2B,C1R,CALU
16,MGST3,COL4A2,MZT2B
17,HSP90B1,GBP1,NUPR1
18,ITGB1,ITM2B,APP
19,FLNA,LRP1,MTHFD2
20,CD99,TNC,LOX
21,SPARC,COL6A1,CTSB
22,APLP2,KRT10,PSAP
23,TLN1,MZT2B,FLNA
24,MYL9,MYADM,MARCKS
25,C12orf75,CTHRC1,KRT10
26,IGFBP4,LUM,C1S
27,C1R,MMP3,ITM2B
28,CD59,APOL6,TPM1
29,PSAP,HIF1A,MZT2A
30,PDIA3,CTSB,C1R
31,C12orf57,PHLDA2,TNC
32,TPM4,WNT5A,DSTN
33,RAB3B,APP,DPYSL2
34,TPM1,PSAP,TLN1
35,SSR4,FTH1,RAB3B
36,C1S,ATF4,TIMP2
37,NUCB2,SELENOM,TAGLN
38,SERPINH1,FGF2,TPM4
39,COL6A3,MME,C12orf57
40,CRIM1,COL3A1,EIF4EBP1
41,PDIA6,CDH2,THBS1
42,ACTB,GRN,COL6A3
43,NDUFA4,PCOLCE,CDH2
44,CALR,EIF4EBP1,FTH1
45,FSTL1,COL1A2,ITGB1
46,RABAC1,LOX,IGFBP4
47,DUT,ZFP91,STC2
48,VKORC1,TPM1,NPC2
49,OST4,MZT2A,SERPINH1
