gene_name,G1 Phase,G1/S Transition Checkpoint Signaling,G2 Phase,G2/M Transition Checkpoint Signaling,M Phase,S Phase
ABCB1,False,False,False,True,False,False
ACVR1B,False,True,False,False,False,False
AMBRA1,False,True,False,False,False,False
APP,False,False,False,True,False,False
ARPP19,False,False,False,True,False,False
AURKA,False,False,False,True,False,False
BCAT1,False,True,False,False,False,False
BCL2,False,True,False,False,False,False
BRSK1,False,False,False,True,False,False
BRSK2,False,False,False,True,False,False
BTN2A2,False,True,False,False,False,False
CACUL1,False,True,False,False,False,False
CALM1,False,False,False,True,False,False
CALM2,False,False,False,True,False,False
CALM3,False,False,False,True,False,False
CAMK2A,False,True,False,False,False,False
CCDC57,False,False,False,True,False,False
CCNA2,False,True,False,True,False,False
CCNB1,False,False,False,True,False,False
CCND1,False,True,False,False,False,False
CCND2,False,True,False,False,False,False
CCND3,False,True,False,False,False,False
CCNE1,False,True,False,False,False,False
CCNE2,False,True,False,False,False,False
CCNY,False,False,False,True,False,False
CDC25A,False,True,False,True,False,False
CDC25B,False,False,False,True,False,False
CDC25C,False,False,False,True,False,False
CDC34,False,True,False,False,False,False
CDC7,False,True,False,False,False,False
CDK1,False,True,False,True,False,False
CDK14,False,False,False,True,False,False
CDK2,False,True,False,True,False,False
CDK3,False,True,False,False,False,False
CDK4,False,True,False,False,False,False
CDK6,False,True,False,False,False,False
CDKN1A,False,True,False,False,False,False
CDKN1B,False,True,False,False,False,False
CDKN3,False,True,False,False,False,False
CHEK1,False,False,False,True,False,False
CHEK2,False,False,False,True,False,False
CNOT6,True,True,True,True,True,True
CSDE1,True,True,True,True,True,True
CUL1,False,True,False,False,False,False
CUL2,False,True,False,False,False,False
CUL3,False,True,False,False,False,False
CUL4A,False,True,False,False,False,False
CUL4B,False,True,False,False,False,False
CUL5,False,True,False,False,False,False
DBF4,False,True,False,False,False,False
DNM2,False,False,False,True,False,False
DRD2,True,True,True,True,True,True
DRD3,True,True,True,True,True,True
DRD4,True,True,True,True,True,True
E2F3,False,True,False,False,False,False
EIF4E,False,True,False,False,False,False
EIF4EBP1,False,True,False,False,False,False
ENSA,False,False,False,True,False,False
EZH2,False,True,False,False,False,False
FBXL15,False,False,False,True,False,False
FBXL7,False,False,False,True,False,False
FBXO7,False,False,True,False,False,False
FOXM1,False,False,False,True,False,False
GPR132,False,True,False,False,False,False
GSPT1,False,True,False,False,False,False
HBS1L,True,True,True,True,True,True
HINFP,False,True,False,False,False,False
HSPA8,False,True,False,False,False,False
ID4,False,True,False,False,False,False
IQGAP3,False,True,False,False,False,False
ITGB1,False,True,False,False,False,False
KDM8,False,False,False,True,False,False
KHDRBS1,False,True,False,True,False,False
LATS1,False,True,False,True,False,False
LATS2,False,True,False,False,False,False
LCMT1,False,False,False,True,False,False
MASTL,False,False,False,True,False,False
MELK,False,False,False,True,False,False
MNAT1,False,True,False,False,False,False
MTA3,False,False,False,True,False,False
MYC,False,True,False,False,False,False
NES,False,False,False,True,False,False
PBX1,False,False,False,True,False,False
PELO,True,True,True,True,True,True
PHF8,False,True,False,False,False,False
PIAS1,False,True,False,False,False,False
PIM2,False,True,False,False,False,False
PKMYT1,False,False,False,True,False,False
PLCB1,False,False,False,True,False,False
PLK1,False,False,False,True,False,False
PLK2,False,True,False,False,False,False
PLK3,False,True,False,True,False,False
POLE,False,True,False,False,False,False
PPM1D,False,False,False,True,False,False
PPME1,False,False,False,True,False,False
PPP3CA,False,True,False,False,False,False
PPP6C,False,True,False,False,False,False
RB1,False,True,False,False,False,False
RBBP8,False,True,False,False,False,False
RCC1,False,True,False,False,False,False
RGCC,False,True,False,False,False,False
RHOU,False,True,False,False,False,False
RPS6,False,True,False,False,False,False
RPS6KB1,False,True,False,False,False,False
RTEL1,False,False,False,False,False,True
SKP2,False,True,False,True,False,False
SPDYA,False,True,False,False,False,False
SYCP2,True,False,False,False,False,False
SYCP2L,True,False,False,False,False,False
TAF10,False,True,False,False,False,False
TAF2,False,False,False,True,False,False
TERF1,False,False,False,True,False,False
TERF2,False,False,False,False,False,True
TERF2IP,False,False,False,False,False,True
TPD52L1,False,False,False,True,False,False
TRIM71,False,True,False,False,False,False
UBE2A,False,False,False,True,False,False
URS000019B0F7_9606,False,True,False,False,False,False
URS000024463E_9606,False,True,False,False,False,False
URS0000272A3D_9606,False,True,False,False,False,False
URS00002F4D78_9606,False,True,False,False,False,False
URS00003D1AE3_9606,False,True,False,False,False,False
URS00004DC6C5_9606,False,True,False,False,False,False
URS0000527228_9606,False,True,False,False,False,False
USH1C,False,False,False,True,False,False
USP22,False,False,False,True,False,False
USP26,False,True,False,False,False,False
USP29,False,True,False,False,False,False
USP37,False,True,False,False,False,False
WEE1,False,False,False,True,False,False
WNT10B,False,False,False,True,False,False
ZNF324,False,True,False,False,False,False
cyclina2_cdk1_human,False,True,False,True,False,False
cyclinb1_cdk1_human,False,False,False,True,False,False
cyclind1_cdk4_human,False,True,False,False,False,False
cyclind1_cdk6_human,False,True,False,False,False,False
cyclind2_cdk4_human,False,True,False,False,False,False
cyclind3_cdk4_human,False,True,False,False,False,False
cyclind3_cdk6_human,False,True,False,False,False,False
cycline1_cdk2_human,False,True,False,False,False,False
cycline2_cdk2_human,False,True,False,False,False,False
scf-fbxl1_human,False,True,False,False,False,False
