Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase","Protein Coding","P04406","64","GC12P080272","6.02499771118164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH"
"B2M","Beta-2-Microglobulin","Protein Coding","P61769","62","GC15P044711","3.96309232711792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"HPRT1","Hypoxanthine Phosphoribosyltransferase 1","Protein Coding","P00492","60","GC0XP134460","3.54701328277588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPRT1"
"SURF4","Surfeit 4","Protein Coding","O15260","50","GC09M133361","2.60642576217651","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF4"
"TBP","TATA-Box Binding Protein","Protein Coding","P20226","62","GC06P170554","2.57156896591187","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBP"
"RPS15","Ribosomal Protein S15","Protein Coding","P62841","50","GC19P001438","2.54253149032593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15"
"POLR2A","RNA Polymerase II Subunit A","Protein Coding","P24928","58","GC17P164142","2.52885103225708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A"
"PGK1","Phosphoglycerate Kinase 1","Protein Coding","P00558","62","GC0XP078278","2.43502140045166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGK1"
"POLR2B","RNA Polymerase II Subunit B","Protein Coding","P30876","55","GC04P056977","2.36585259437561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2B"
"DNMT3L","DNA Methyltransferase 3 Like","Protein Coding","Q9UJW3","54","GC21M044246","2.36585259437561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3L"
"TFRC","Transferrin Receptor","Protein Coding","P02786","63","GC03M196827","2.31883811950684","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"ALDOB","Aldolase, Fructose-Bisphosphate B","Protein Coding","P05062","59","GC09M101420","2.28042888641357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOB"
"PCSK7","Proprotein Convertase Subtilisin/Kexin Type 7","Protein Coding","Q16549","56","GC11M143792","2.28042888641357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK7"
"ENDOG","Endonuclease G","Protein Coding","Q14249","56","GC09P128818","2.21653461456299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENDOG"
"ACTG1","Actin Gamma 1","Protein Coding","P63261","60","GC17M081509","2.08277320861816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTG1"
"PPIA","Peptidylprolyl Isomerase A","Protein Coding","P62937","59","GC07P045600","2.02835607528687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIA"
"SDHA","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Protein Coding","P31040","61","GC05P000254","1.99858009815216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA"
"GUSB","Glucuronidase Beta","Protein Coding","P08236","62","GC07M065960","1.93180227279663","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUSB"
