GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000129152.4,MYOD1,ENSG00000187642.10,PERM1,161,STRING
ENSG00000129152.4,MYOD1,ENSG00000197921.6,HES5,265,STRING
ENSG00000129152.4,MYOD1,ENSG00000078900.16,TP73,164,STRING
ENSG00000129152.4,MYOD1,ENSG00000173673.9,HES3,169,STRING
ENSG00000129152.4,MYOD1,ENSG00000049246.15,PER3,162,STRING
ENSG00000129152.4,MYOD1,ENSG00000049239.13,H6PD,153,STRING
ENSG00000129152.4,MYOD1,ENSG00000198793.14,MTOR,451,STRING
ENSG00000129152.4,MYOD1,ENSG00000116688.18,MFN2,255,STRING
ENSG00000129152.4,MYOD1,ENSG00000120949.15,TNFRSF8,214,STRING
ENSG00000129152.4,MYOD1,ENSG00000116731.23,PRDM2,200,STRING
ENSG00000129152.4,MYOD1,ENSG00000117118.12,SDHB,258,STRING
ENSG00000129152.4,MYOD1,ENSG00000142798.20,HSPG2,239,STRING
ENSG00000129152.4,MYOD1,ENSG00000162552.15,WNT4,275,STRING
ENSG00000129152.4,MYOD1,ENSG00000007968.7,E2F2,168,STRING
ENSG00000129152.4,MYOD1,ENSG00000188672.19,RHCE,181,STRING
ENSG00000129152.4,MYOD1,ENSG00000162430.18,SELENON,172,STRING
ENSG00000129152.4,MYOD1,ENSG00000131914.11,LIN28A,310,STRING
ENSG00000129152.4,MYOD1,ENSG00000158161.16,EYA3,380,STRING
ENSG00000129152.4,MYOD1,ENSG00000116478.13,HDAC1,926,STRING
ENSG00000129152.4,MYOD1,ENSG00000162520.15,SYNC,224,STRING
ENSG00000129152.4,MYOD1,ENSG00000160097.21,FNDC5,311,STRING
ENSG00000129152.4,MYOD1,ENSG00000084073.10,ZMPSTE24,163,STRING
ENSG00000129152.4,MYOD1,ENSG00000065978.19,YBX1,168,STRING
ENSG00000129152.4,MYOD1,ENSG00000117394.24,SLC2A1,186,STRING
ENSG00000129152.4,MYOD1,ENSG00000117399.14,CDC20,159,STRING
ENSG00000129152.4,MYOD1,ENSG00000066135.13,KDM4A,497,STRING
ENSG00000129152.4,MYOD1,ENSG00000162367.12,TAL1,394,STRING
ENSG00000129152.4,MYOD1,ENSG00000187140.6,FOXD3,312,STRING
ENSG00000129152.4,MYOD1,ENSG00000162434.14,JAK1,175,STRING
ENSG00000129152.4,MYOD1,ENSG00000116678.20,LEPR,174,STRING
ENSG00000129152.4,MYOD1,ENSG00000117054.15,ACADM,161,STRING
ENSG00000129152.4,MYOD1,ENSG00000143013.13,LMO4,1000,HuRI
ENSG00000129152.4,MYOD1,ENSG00000162676.13,GFI1,150,STRING
ENSG00000129152.4,MYOD1,ENSG00000137962.13,ARHGAP29,284,STRING
ENSG00000129152.4,MYOD1,ENSG00000162692.12,VCAM1,267,STRING
ENSG00000129152.4,MYOD1,ENSG00000156150.9,ALX3,241,STRING
ENSG00000129152.4,MYOD1,ENSG00000134245.18,WNT2B,166,STRING
ENSG00000129152.4,MYOD1,ENSG00000134259.6,NGF,225,STRING
ENSG00000129152.4,MYOD1,ENSG00000092621.13,PHGDH,270,STRING
ENSG00000129152.4,MYOD1,ENSG00000134250.21,NOTCH2,233,STRING
ENSG00000129152.4,MYOD1,ENSG00000273213.4,H3-7,507,STRING
ENSG00000129152.4,MYOD1,ENSG00000288825.1,H2AC18,252,STRING
ENSG00000129152.4,MYOD1,ENSG00000184260.6,H2AC20,254,STRING
ENSG00000129152.4,MYOD1,ENSG00000143437.21,ARNT,243,STRING
ENSG00000129152.4,MYOD1,ENSG00000116539.14,ASH1L,179,STRING
ENSG00000129152.4,MYOD1,ENSG00000116604.19,MEF2D,903,STRING
ENSG00000129152.4,MYOD1,ENSG00000132688.11,NES,376,STRING
ENSG00000129152.4,MYOD1,ENSG00000198400.14,NTRK1,230,STRING
ENSG00000129152.4,MYOD1,ENSG00000162738.8,VANGL2,177,STRING
ENSG00000129152.4,MYOD1,ENSG00000143252.17,SDHC,396,STRING
ENSG00000129152.4,MYOD1,ENSG00000162761.14,LMX1A,249,STRING
ENSG00000129152.4,MYOD1,ENSG00000143199.18,ADCY10,190,STRING
ENSG00000129152.4,MYOD1,ENSG00000073756.13,PTGS2,213,STRING
ENSG00000129152.4,MYOD1,ENSG00000081237.22,PTPRC,447,STRING
ENSG00000129152.4,MYOD1,ENSG00000163395.17,IGFN1,1000,HuRI
ENSG00000129152.4,MYOD1,ENSG00000133055.10,MYBPH,281,STRING
ENSG00000129152.4,MYOD1,ENSG00000122176.12,FMOD,284,STRING
ENSG00000129152.4,MYOD1,ENSG00000162772.18,ATF3,414,STRING
ENSG00000129152.4,MYOD1,ENSG00000117707.17,PROX1,178,STRING
ENSG00000129152.4,MYOD1,ENSG00000092969.12,TGFB2,252,STRING
ENSG00000129152.4,MYOD1,ENSG00000162909.18,CAPN2,233,STRING
ENSG00000129152.4,MYOD1,ENSG00000243709.1,LEFTY1,164,STRING
ENSG00000129152.4,MYOD1,ENSG00000185155.12,MIXL1,203,STRING
