GeneA_ID,GeneA_Name,GeneB_ID,GeneB_Name,ConfidenceScore,Source
ENSG00000116132.12,PRRX1,ENSG00000188290.11,HES4,184,STRING
ENSG00000116132.12,PRRX1,ENSG00000173662.21,TAS1R1,203,STRING
ENSG00000116132.12,PRRX1,ENSG00000130940.15,CASZ1,158,STRING
ENSG00000116132.12,PRRX1,ENSG00000198793.14,MTOR,158,STRING
ENSG00000116132.12,PRRX1,ENSG00000142627.13,EPHA2,158,STRING
ENSG00000116132.12,PRRX1,ENSG00000162551.14,ALPL,240,STRING
ENSG00000116132.12,PRRX1,ENSG00000162552.15,WNT4,153,STRING
ENSG00000116132.12,PRRX1,ENSG00000131914.11,LIN28A,165,STRING
ENSG00000116132.12,PRRX1,ENSG00000084636.18,COL16A1,358,STRING
ENSG00000116132.12,PRRX1,ENSG00000116478.13,HDAC1,169,STRING
ENSG00000116132.12,PRRX1,ENSG00000163866.9,SMIM12,310,STRING
ENSG00000116132.12,PRRX1,ENSG00000185668.8,POU3F1,207,STRING
ENSG00000116132.12,PRRX1,ENSG00000162367.12,TAL1,325,STRING
ENSG00000116132.12,PRRX1,ENSG00000187140.6,FOXD3,264,STRING
ENSG00000116132.12,PRRX1,ENSG00000116678.20,LEPR,354,STRING
ENSG00000116132.12,PRRX1,ENSG00000116729.14,WLS,150,STRING
ENSG00000116132.12,PRRX1,ENSG00000122420.10,PTGFR,183,STRING
ENSG00000116132.12,PRRX1,ENSG00000069702.11,TGFBR3,183,STRING
ENSG00000116132.12,PRRX1,ENSG00000117600.14,PLPPR4,233,STRING
ENSG00000116132.12,PRRX1,ENSG00000162692.12,VCAM1,247,STRING
ENSG00000116132.12,PRRX1,ENSG00000060718.22,COL11A1,281,STRING
ENSG00000116132.12,PRRX1,ENSG00000162631.20,NTNG1,207,STRING
ENSG00000116132.12,PRRX1,ENSG00000156150.9,ALX3,288,STRING
ENSG00000116132.12,PRRX1,ENSG00000171385.11,KCND3,155,STRING
ENSG00000116132.12,PRRX1,ENSG00000134245.18,WNT2B,171,STRING
ENSG00000116132.12,PRRX1,ENSG00000134200.4,TSHB,162,STRING
ENSG00000116132.12,PRRX1,ENSG00000143067.5,ZNF697,168,STRING
ENSG00000116132.12,PRRX1,ENSG00000134250.21,NOTCH2,197,STRING
ENSG00000116132.12,PRRX1,ENSG00000273213.4,H3-7,169,STRING
ENSG00000116132.12,PRRX1,ENSG00000143387.14,CTSK,385,STRING
ENSG00000116132.12,PRRX1,ENSG00000213190.4,MLLT11,201,STRING
ENSG00000116132.12,PRRX1,ENSG00000169242.12,EFNA1,160,STRING
ENSG00000116132.12,PRRX1,ENSG00000116604.19,MEF2D,152,STRING
ENSG00000116132.12,PRRX1,ENSG00000132688.11,NES,359,STRING
ENSG00000116132.12,PRRX1,ENSG00000143321.19,HDGF,233,STRING
ENSG00000116132.12,PRRX1,ENSG00000162745.11,OLFML2B,260,STRING
ENSG00000116132.12,PRRX1,ENSG00000162733.19,DDR2,552,STRING
ENSG00000116132.12,PRRX1,ENSG00000143196.5,DPT,185,STRING
ENSG00000116132.12,PRRX1,ENSG00000203740.4,NTMT2,225,STRING
ENSG00000116132.12,PRRX1,ENSG00000120332.17,TNN,185,STRING
ENSG00000116132.12,PRRX1,ENSG00000143341.12,HMCN1,191,STRING
ENSG00000116132.12,PRRX1,ENSG00000073756.13,PTGS2,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000177888.8,ZBTB41,169,STRING
ENSG00000116132.12,PRRX1,ENSG00000081237.22,PTPRC,243,STRING
ENSG00000116132.12,PRRX1,ENSG00000162702.8,ZNF281,212,STRING
ENSG00000116132.12,PRRX1,ENSG00000163431.14,LMOD1,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000143847.16,PPFIA4,160,STRING
ENSG00000116132.12,PRRX1,ENSG00000122176.12,FMOD,284,STRING
ENSG00000116132.12,PRRX1,ENSG00000117707.17,PROX1,180,STRING
ENSG00000116132.12,PRRX1,ENSG00000117724.15,CENPF,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000092969.12,TGFB2,257,STRING
ENSG00000116132.12,PRRX1,ENSG00000243709.1,LEFTY1,170,STRING
ENSG00000116132.12,PRRX1,ENSG00000143768.13,LEFTY2,182,STRING
ENSG00000116132.12,PRRX1,ENSG00000185155.12,MIXL1,164,STRING
ENSG00000116132.12,PRRX1,ENSG00000154342.6,WNT3A,193,STRING
ENSG00000116132.12,PRRX1,ENSG00000143632.15,ACTA1,184,STRING
ENSG00000116132.12,PRRX1,ENSG00000116962.15,NID1,179,STRING
ENSG00000116132.12,PRRX1,ENSG00000180875.5,GREM2,187,STRING
ENSG00000116132.12,PRRX1,ENSG00000279301.5,OR2T11,184,STRING
ENSG00000116132.12,PRRX1,ENSG00000130508.11,PXDN,235,STRING
ENSG00000116132.12,PRRX1,ENSG00000176887.7,SOX11,203,STRING
ENSG00000116132.12,PRRX1,ENSG00000134323.13,MYCN,203,STRING
ENSG00000116132.12,PRRX1,ENSG00000143867.7,OSR1,579,STRING
ENSG00000116132.12,PRRX1,ENSG00000171094.18,ALK,161,STRING
ENSG00000116132.12,PRRX1,ENSG00000049323.16,LTBP1,237,STRING
ENSG00000116132.12,PRRX1,ENSG00000119888.11,EPCAM,271,STRING
ENSG00000116132.12,PRRX1,ENSG00000115902.11,SLC1A4,156,STRING
ENSG00000116132.12,PRRX1,ENSG00000143995.20,MEIS1,353,STRING
ENSG00000116132.12,PRRX1,ENSG00000169604.21,ANTXR1,296,STRING
ENSG00000116132.12,PRRX1,ENSG00000163017.14,ACTG2,171,STRING
ENSG00000116132.12,PRRX1,ENSG00000115318.12,LOXL3,172,STRING
ENSG00000116132.12,PRRX1,ENSG00000152284.5,TCF7L1,157,STRING
ENSG00000116132.12,PRRX1,ENSG00000168874.14,ATOH8,348,STRING
ENSG00000116132.12,PRRX1,ENSG00000198914.5,POU3F3,174,STRING
ENSG00000116132.12,PRRX1,ENSG00000172985.11,SH3RF3,178,STRING
ENSG00000116132.12,PRRX1,ENSG00000163064.7,EN1,213,STRING
ENSG00000116132.12,PRRX1,ENSG00000163083.6,INHBB,180,STRING
ENSG00000116132.12,PRRX1,ENSG00000074047.22,GLI2,281,STRING
ENSG00000116132.12,PRRX1,ENSG00000196604.13,POTEF,219,STRING
ENSG00000116132.12,PRRX1,ENSG00000121966.8,CXCR4,209,STRING
ENSG00000116132.12,PRRX1,ENSG00000169554.23,ZEB2,465,STRING
ENSG00000116132.12,PRRX1,ENSG00000123610.5,TNFAIP6,233,STRING
ENSG00000116132.12,PRRX1,ENSG00000123612.16,ACVR1C,150,STRING
ENSG00000116132.12,PRRX1,ENSG00000115170.16,ACVR1,311,STRING
ENSG00000116132.12,PRRX1,ENSG00000144290.17,SLC4A10,332,STRING
ENSG00000116132.12,PRRX1,ENSG00000078098.15,FAP,356,STRING
ENSG00000116132.12,PRRX1,ENSG00000128714.6,HOXD13,683,STRING
ENSG00000116132.12,PRRX1,ENSG00000128713.14,HOXD11,637,STRING
ENSG00000116132.12,PRRX1,ENSG00000128709.13,HOXD9,259,STRING
ENSG00000116132.12,PRRX1,ENSG00000128645.15,HOXD1,215,STRING
ENSG00000116132.12,PRRX1,ENSG00000155657.29,TTN,174,STRING
ENSG00000116132.12,PRRX1,ENSG00000138448.13,ITGAV,301,STRING
ENSG00000116132.12,PRRX1,ENSG00000204262.14,COL5A2,360,STRING
ENSG00000116132.12,PRRX1,ENSG00000138395.17,CDK15,204,STRING
ENSG00000116132.12,PRRX1,ENSG00000204217.16,BMPR2,365,STRING
ENSG00000116132.12,PRRX1,ENSG00000118263.16,KLF7,183,STRING
ENSG00000116132.12,PRRX1,ENSG00000115596.4,WNT6,184,STRING
ENSG00000116132.12,PRRX1,ENSG00000163497.3,FEV,161,STRING
ENSG00000116132.12,PRRX1,ENSG00000163501.7,IHH,316,STRING
ENSG00000116132.12,PRRX1,ENSG00000116106.12,EPHA4,151,STRING
ENSG00000116132.12,PRRX1,ENSG00000132321.17,IQCA1,158,STRING
ENSG00000116132.12,PRRX1,ENSG00000144476.6,ACKR3,167,STRING
ENSG00000116132.12,PRRX1,ENSG00000163359.17,COL6A3,369,STRING
ENSG00000116132.12,PRRX1,ENSG00000163513.20,TGFBR2,221,STRING
ENSG00000116132.12,PRRX1,ENSG00000185313.9,SCN10A,214,STRING
