gene_name,cell_type,is_tf,source,category
LUM,airway_smooth_muscle_cells,False,panglao,muscle
COL1A1,airway_smooth_muscle_cells,False,panglao,muscle
COL5A2,airway_smooth_muscle_cells,False,panglao,muscle
COL5A1,airway_smooth_muscle_cells,False,panglao,muscle
FNDC1,airway_smooth_muscle_cells,False,panglao,muscle
COL12A1,airway_smooth_muscle_cells,False,panglao,muscle
IGFBP5,airway_smooth_muscle_cells,False,panglao,muscle
EHD2,airway_smooth_muscle_cells,False,panglao,muscle
COL6A1,airway_smooth_muscle_cells,False,panglao,muscle
LOX,airway_smooth_muscle_cells,False,panglao,muscle
SNAI2,airway_smooth_muscle_cells,True,panglao,muscle
FBN1,airway_smooth_muscle_cells,False,panglao,muscle
TWIST2,airway_smooth_muscle_cells,True,panglao,muscle
PCDH18,airway_smooth_muscle_cells,False,panglao,muscle
SYDE1,airway_smooth_muscle_cells,False,panglao,muscle
CALD1,airway_smooth_muscle_cells,False,panglao,muscle
SERPINH1,airway_smooth_muscle_cells,False,panglao,muscle
MMP2,airway_smooth_muscle_cells,False,panglao,muscle
COL3A1,airway_smooth_muscle_cells,False,panglao,muscle
LMOD1,airway_smooth_muscle_cells,False,panglao,muscle
CPZ,airway_smooth_muscle_cells,False,panglao,muscle
TIMP3,airway_smooth_muscle_cells,False,panglao,muscle
TBX2,airway_smooth_muscle_cells,True,panglao,muscle
PCOLCE,airway_smooth_muscle_cells,False,panglao,muscle
COL4A1,airway_smooth_muscle_cells,False,panglao,muscle
COL4A2,airway_smooth_muscle_cells,False,panglao,muscle
SRPX,airway_smooth_muscle_cells,False,panglao,muscle
FSTL1,airway_smooth_muscle_cells,False,panglao,muscle
GLI2,airway_smooth_muscle_cells,True,panglao,muscle
EDNRA,airway_smooth_muscle_cells,False,panglao,muscle
ADAMTS1,airway_smooth_muscle_cells,False,panglao,muscle
COL1A2,airway_smooth_muscle_cells,False,panglao,muscle
MYL9,airway_smooth_muscle_cells,False,panglao,muscle
TAGLN,airway_smooth_muscle_cells,False,panglao,muscle
MRGPRF,airway_smooth_muscle_cells,False,panglao,muscle
ADGRL4,airway_smooth_muscle_cells,False,panglao,muscle
FIBIN,airway_smooth_muscle_cells,False,panglao,muscle
BGN,airway_smooth_muscle_cells,False,panglao,muscle
TCF21,airway_smooth_muscle_cells,True,panglao,muscle
RSPO3,airway_smooth_muscle_cells,False,panglao,muscle
PDGFRB,airway_smooth_muscle_cells,False,panglao,muscle
PDGFRA,airway_smooth_muscle_cells,False,panglao,muscle
CXCL12,airway_smooth_muscle_cells,False,panglao,muscle
FBLN5,airway_smooth_muscle_cells,False,panglao,muscle
POSTN,airway_smooth_muscle_cells,False,panglao,muscle
COL6A3,airway_smooth_muscle_cells,False,panglao,muscle
COL6A2,airway_smooth_muscle_cells,False,panglao,muscle
HTRA3,airway_smooth_muscle_cells,False,panglao,muscle
IGFBP7,airway_smooth_muscle_cells,False,panglao,muscle
ACTA2,airway_smooth_muscle_cells,False,panglao,muscle
MFAP4,airway_smooth_muscle_cells,False,panglao,muscle
NNMT,airway_smooth_muscle_cells,False,panglao,muscle
HSPB6,airway_smooth_muscle_cells,False,panglao,muscle
DCN,airway_smooth_muscle_cells,False,panglao,muscle
ADAMTS2,airway_smooth_muscle_cells,False,panglao,muscle
TPM2,airway_smooth_muscle_cells,False,panglao,muscle
DKK3,airway_smooth_muscle_cells,False,panglao,muscle
DES,airway_smooth_muscle_cells,False,panglao,muscle
PMP22,airway_smooth_muscle_cells,False,panglao,muscle
GLT8D2,airway_smooth_muscle_cells,False,panglao,muscle
LOXL1,airway_smooth_muscle_cells,False,panglao,muscle
LOXL2,airway_smooth_muscle_cells,False,panglao,muscle
ADGRA2,airway_smooth_muscle_cells,False,panglao,muscle
BMPER,airway_smooth_muscle_cells,False,panglao,muscle
TPM1,airway_smooth_muscle_cells,False,panglao,muscle
FLNC,airway_smooth_muscle_cells,False,panglao,muscle
FOXF2,airway_smooth_muscle_cells,True,panglao,muscle
FOXF1,airway_smooth_muscle_cells,True,panglao,muscle
IGF2,airway_smooth_muscle_cells,False,panglao,muscle
GDF6,airway_smooth_muscle_cells,False,panglao,muscle
CDH11,airway_smooth_muscle_cells,False,panglao,muscle
COL13A1,airway_smooth_muscle_cells,False,panglao,muscle
GATA6,airway_smooth_muscle_cells,True,panglao,muscle
GATA5,airway_smooth_muscle_cells,True,panglao,muscle
PLAT,airway_smooth_muscle_cells,False,panglao,muscle
ACTG2,airway_smooth_muscle_cells,False,panglao,muscle
CNN1,airway_smooth_muscle_cells,False,panglao,muscle
GNG11,airway_smooth_muscle_cells,False,panglao,muscle
EFEMP2,airway_smooth_muscle_cells,False,panglao,muscle
MYOCD,airway_smooth_muscle_cells,False,panglao,muscle
VEGFC,airway_smooth_muscle_cells,False,panglao,muscle
FOXL1,airway_smooth_muscle_cells,True,panglao,muscle
PXDN,airway_smooth_muscle_cells,False,panglao,muscle
ITGA8,airway_smooth_muscle_cells,False,panglao,muscle
LIMS2,airway_smooth_muscle_cells,False,panglao,muscle
FOXC2,airway_smooth_muscle_cells,True,panglao,muscle
NID1,airway_smooth_muscle_cells,False,panglao,muscle
PTH1R,airway_smooth_muscle_cells,False,panglao,muscle
NID2,airway_smooth_muscle_cells,False,panglao,muscle
EMILIN1,airway_smooth_muscle_cells,False,panglao,muscle
WNT2,airway_smooth_muscle_cells,False,panglao,muscle
NOG,airway_smooth_muscle_cells,False,panglao,muscle
HAND2,airway_smooth_muscle_cells,True,panglao,muscle
MSRB3,airway_smooth_muscle_cells,True,panglao,muscle
TGFB1I1,airway_smooth_muscle_cells,False,panglao,muscle
LAMA4,airway_smooth_muscle_cells,False,panglao,muscle
JPH2,airway_smooth_muscle_cells,False,panglao,muscle
ADAMTSL1,airway_smooth_muscle_cells,False,panglao,muscle
MRC2,airway_smooth_muscle_cells,False,panglao,muscle
SLC5A1,cardiomyocytes,False,panglao,myocyte
LOX,cardiomyocytes,False,panglao,myocyte
LMOD1,cardiomyocytes,False,panglao,myocyte
EDNRA,cardiomyocytes,False,panglao,myocyte
AQP1,cardiomyocytes,False,panglao,myocyte
CRYAB,cardiomyocytes,False,panglao,myocyte
ADIPOQ,cardiomyocytes,False,panglao,myocyte
FABP4,cardiomyocytes,False,panglao,myocyte
FMOD,cardiomyocytes,False,panglao,myocyte
COX7A1,cardiomyocytes,False,panglao,myocyte
HSPB7,cardiomyocytes,False,panglao,myocyte
HSPB6,cardiomyocytes,False,panglao,myocyte
HSPB2,cardiomyocytes,False,panglao,myocyte
LAMA2,cardiomyocytes,False,panglao,myocyte
HSPB2-C11ORF52,cardiomyocytes,False,panglao,myocyte
PNMT,cardiomyocytes,False,panglao,myocyte
DES,cardiomyocytes,False,panglao,myocyte
TPM1,cardiomyocytes,False,panglao,myocyte
FLNC,cardiomyocytes,False,panglao,myocyte
GATA6,cardiomyocytes,True,panglao,myocyte
MYOCD,cardiomyocytes,False,panglao,myocyte
PTH1R,cardiomyocytes,False,panglao,myocyte
HAND2,cardiomyocytes,True,panglao,myocyte
JPH2,cardiomyocytes,False,panglao,myocyte
DUSP26,cardiomyocytes,True,panglao,myocyte
SORBS2,cardiomyocytes,False,panglao,myocyte
KLHL41,cardiomyocytes,False,panglao,myocyte
CD36,cardiomyocytes,False,panglao,myocyte
PRKG1,cardiomyocytes,False,panglao,myocyte
ATP1A2,cardiomyocytes,False,panglao,myocyte
HHATL,cardiomyocytes,False,panglao,myocyte
