# Query Group 1 Filters: tissues: musculature | cellTypes: muscle cell, muscle precursor cell, cell of skeletal muscle, skeletal muscle satellite stem cell, skeletal muscle satellite cell, skeletal muscle fiber, myotube
# Query Group 2 Filters: tissues: skin of body | cellTypes: fibroblast, skin fibroblast
Gene,Log Fold Change,Effect Size,Adjusted P-Value
PDLIM3,2.853,2.542,0.000e+0
NEB,3.642,2.503,0.000e+0
TTN,4.316,2.432,0.000e+0
TRDN,2.804,2.418,0.000e+0
PDE4DIP,2.620,2.323,0.000e+0
MYBPC1,2.961,2.109,0.000e+0
NEAT1,3.388,2.067,0.000e+0
PDLIM5,2.142,2.037,0.000e+0
CMYA5,2.388,2.015,0.000e+0
NEXN,1.965,1.938,0.000e+0
OBSCN,1.980,1.798,0.000e+0
SVIL,2.030,1.741,0.000e+0
RYR1,1.853,1.695,0.000e+0
DES,1.742,1.678,0.000e+0
ACTN2,1.727,1.637,0.000e+0
ACTA1,2.388,1.598,0.000e+0
MBNL1,1.725,1.583,0.000e+0
FBXO32,1.671,1.549,0.000e+0
MYOT,1.531,1.549,0.000e+0
MLIP,1.572,1.527,0.000e+0
TRIM54,1.375,1.510,0.000e+0
MYOM1,1.497,1.509,0.000e+0
FKBP5,1.673,1.505,0.000e+0
XIRP2,1.749,1.492,0.000e+0
ATP1A2,1.452,1.487,0.000e+0
NRAP,1.641,1.480,0.000e+0
LDB3,1.392,1.450,0.000e+0
MYPN,1.340,1.430,0.000e+0
ZBTB20,1.573,1.426,0.000e+0
RBFOX1,1.419,1.422,0.000e+0
ZBTB16,1.385,1.404,0.000e+0
FILIP1,1.236,1.397,0.000e+0
CAP2,1.281,1.396,0.000e+0
TCAP,1.542,1.390,0.000e+0
MAP4,1.345,1.368,0.000e+0
ASB5,1.455,1.362,0.000e+0
CACNA2D1,1.306,1.352,0.000e+0
TNNT1,1.883,1.339,0.000e+0
FHL1,1.627,1.336,0.000e+0
N4BP2L2,1.353,1.335,0.000e+0
KIAA1217,1.302,1.321,0.000e+0
PCNT,1.218,1.318,0.000e+0
STAC3,1.117,1.311,0.000e+0
MIR133A1HG,1.573,1.309,0.000e+0
MEF2C,1.263,1.302,0.000e+0
TACC2,1.147,1.297,0.000e+0
RBM24,1.150,1.293,0.000e+0
FILIP1L,1.418,1.292,0.000e+0
PDE4D,1.636,1.292,0.000e+0
MB,1.360,1.284,0.000e+0
TPM2,1.688,1.267,0.000e+0
SESN1,1.167,1.260,0.000e+0
FTX,1.195,1.256,0.000e+0
HSPB7,1.103,1.255,0.000e+0
DST,1.350,1.252,0.000e+0
MYO18B,1.117,1.244,0.000e+0
ATP1B1,1.145,1.244,0.000e+0
CLIP1,1.150,1.231,0.000e+0
CORO6,1.023,1.213,0.000e+0
DTNA,1.073,1.207,0.000e+0
ENO3,1.290,1.207,0.000e+0
CKM,1.447,1.204,0.000e+0
QKI,1.164,1.197,0.000e+0
BCL6,1.170,1.191,0.000e+0
ART3,1.028,1.187,0.000e+0
PPP1R12B,1.031,1.186,0.000e+0
PDE7A,1.035,1.180,0.000e+0
YBX3,1.356,1.167,0.000e+0
GPATCH8,1.057,1.165,0.000e+0
EYA4,1.039,1.161,0.000e+0
TNNC2,1.395,1.160,0.000e+0
OSBPL9,1.098,1.160,0.000e+0
DENND2C,1.045,1.147,0.000e+0
SMG1,0.991,1.145,0.000e+0
PRKG1,1.242,1.145,0.000e+0
AGL,1.070,1.142,0.000e+0
KLHL41,0.983,1.136,0.000e+0
SOX6,0.981,1.134,0.000e+0
ATP2A2,1.244,1.132,0.000e+0
MYH7,1.235,1.120,0.000e+0
TRIM63,1.052,1.116,0.000e+0
GBE1,1.222,1.112,0.000e+0
RORA,1.178,1.108,0.000e+0
MYF6,0.961,1.107,0.000e+0
KTN1,1.022,1.100,0.000e+0
MIR1-1HG,1.067,1.098,0.000e+0
MYLPF,1.244,1.097,0.000e+0
FLNC,1.007,1.093,0.000e+0
TXLNB,0.902,1.090,0.000e+0
USP54,0.947,1.081,0.000e+0
SSH2,0.988,1.080,0.000e+0
AKAP6,0.948,1.075,0.000e+0
MAP3K20,0.955,1.070,0.000e+0
CTNNA3,1.013,1.068,0.000e+0
CFLAR,0.967,1.067,0.000e+0
SLC7A2,0.896,1.065,0.000e+0
LRRC2,0.867,1.065,0.000e+0
TNKS2,0.875,1.061,0.000e+0
FHL3,0.906,1.061,0.000e+0
MSI2,0.817,1.051,0.000e+0
PYGM,0.914,1.049,0.000e+0
MYH2,1.366,1.049,0.000e+0
AMPD1,0.963,1.047,0.000e+0
SYNPO2,0.843,1.046,0.000e+0
MYL2,1.185,1.044,0.000e+0
ABCA5,0.881,1.041,0.000e+0
RALGAPA2,0.848,1.041,0.000e+0
ARPP21,0.881,1.037,0.000e+0
TPD52L1,0.835,1.036,0.000e+0
TNNI1,1.005,1.030,0.000e+0
HDAC4,0.849,1.029,0.000e+0
LMOD2,0.831,1.025,0.000e+0
SGCD,0.951,1.023,0.000e+0
TNNC1,1.043,1.023,0.000e+0
C1orf21,0.928,1.015,0.000e+0
UACA,0.911,1.010,0.000e+0
SORBS1,0.845,1.008,0.000e+0
MALAT1,1.898,1.008,0.000e+0
PFKM,0.864,1.007,0.000e+0
KCNQ5,1.134,1.000,0.000e+0
TUT4,0.836,0.998,0.000e+0
USP13,0.789,0.994,0.000e+0
ABCC5,0.769,0.990,0.000e+0
NDRG2,0.817,0.989,0.000e+0
TBC1D8,0.827,0.984,0.000e+0
HSPB8,0.807,0.981,0.000e+0
ALPK3,0.747,0.980,0.000e+0
SLC19A2,0.782,0.979,0.000e+0
MYOZ1,0.785,0.976,0.000e+0
ABLIM2,0.809,0.975,0.000e+0
LPP,0.955,0.973,0.000e+0
TTN-AS1,0.959,0.971,0.000e+0
ARID1B,0.804,0.965,0.000e+0
SLC20A2,0.830,0.960,0.000e+0
CPED1,0.880,0.960,0.000e+0
LRRFIP2,0.801,0.950,0.000e+0
CAMK2D,0.856,0.950,0.000e+0
PHKG1,0.789,0.949,0.000e+0
ADCY2,0.718,0.946,0.000e+0
TPM3,1.096,0.938,0.000e+0
KMT2C,0.763,0.936,0.000e+0
DIAPH2,0.813,0.932,0.000e+0
MNAT1,0.707,0.930,0.000e+0
MYL1,0.916,0.929,0.000e+0
AFF1,0.756,0.928,0.000e+0
SLN,0.803,0.926,0.000e+0
SLMAP,0.706,0.920,0.000e+0
DEPTOR,0.721,0.915,0.000e+0
TEAD1,0.750,0.914,0.000e+0
PALLD,0.927,0.912,0.000e+0
SPPL2A,0.765,0.908,0.000e+0
TBC1D4,0.687,0.907,0.000e+0
ACYP2,0.695,0.905,0.000e+0
SPTB,0.676,0.901,0.000e+0
UBE2E2,0.826,0.899,0.000e+0
PLCD4,0.693,0.899,0.000e+0
ZNF106,0.813,0.899,0.000e+0
RERE,0.744,0.888,0.000e+0
PPM1B,0.714,0.886,0.000e+0
LUC7L3,0.884,0.885,0.000e+0
CDH13,0.700,0.884,0.000e+0
ASH1L,0.735,0.882,0.000e+0
MYBPC2,0.781,0.880,0.000e+0
MKLN1,0.735,0.880,0.000e+0
ANK1,0.633,0.880,0.000e+0
RNPC3,0.716,0.877,0.000e+0
UBE2G1,0.650,0.876,0.000e+0
CUX1,0.691,0.875,0.000e+0
DGKD,0.626,0.868,0.000e+0
PPP1R27,0.810,0.868,0.000e+0
RHOBTB1,0.669,0.866,0.000e+0
UBR3,0.641,0.865,0.000e+0
EXOC4,0.650,0.864,0.000e+0
MAST2,0.651,0.864,0.000e+0
DAPK2,0.620,0.863,0.000e+0
THRB,0.694,0.860,0.000e+0
ANO5,0.599,0.860,0.000e+0
ZFAND3,0.733,0.860,0.000e+0
AKAP9,0.784,0.858,0.000e+0
SLC36A2,0.612,0.856,0.000e+0
NEDD4,0.686,0.856,0.000e+0
COL4A3,0.652,0.855,0.000e+0
NT5C2,0.629,0.855,0.000e+0
CA3,0.762,0.849,0.000e+0
ZNF638,0.696,0.847,0.000e+0
DDX17,0.959,0.847,0.000e+0
GPHN,0.663,0.846,0.000e+0
RC3H1,0.633,0.845,0.000e+0
ECPAS,0.608,0.840,0.000e+0
CEP350,0.624,0.837,0.000e+0
FEZ2,0.708,0.836,0.000e+0
TNRC6B,0.739,0.833,0.000e+0
JPH1,0.560,0.833,0.000e+0
PHTF2,0.596,0.832,0.000e+0
SYPL2,0.556,0.831,0.000e+0
LINC00513,0.740,0.831,0.000e+0
CACNA1S,0.584,0.831,0.000e+0
PPP1R3A,0.591,0.830,0.000e+0
SYNM,0.601,0.830,0.000e+0
EHBP1L1,0.615,0.830,0.000e+0
PPP6R3,0.619,0.829,0.000e+0
ANKRD2,0.779,0.826,0.000e+0
NPEPPS,0.637,0.825,0.000e+0
TNIK,0.573,0.823,0.000e+0
LRRFIP1,0.660,0.823,0.000e+0
CECR2,0.560,0.821,0.000e+0
XPO4,0.622,0.821,0.000e+0
FOXP2,0.614,0.820,0.000e+0
LIMCH1,0.695,0.818,0.000e+0
CLASP1,0.576,0.817,0.000e+0
BIN1,0.721,0.815,0.000e+0
LMCD1,0.747,0.813,0.000e+0
TMEM38A,0.537,0.812,0.000e+0
PRKAA2,0.542,0.810,0.000e+0
CUTC,0.575,0.809,0.000e+0
CLTCL1,0.569,0.809,0.000e+0
FAM214A,0.573,0.808,0.000e+0
DCAF6,0.591,0.806,0.000e+0
PPP2R3A,0.602,0.806,0.000e+0
EGF,0.573,0.805,0.000e+0
ITGA7,0.543,0.805,0.000e+0
BACH1,0.642,0.804,0.000e+0
AGBL1,0.679,0.804,0.000e+0
DIAPH1,0.593,0.804,0.000e+0
FAM160A1,0.565,0.803,0.000e+0
CPEB4,0.588,0.800,0.000e+0
ANKRD10,0.689,0.800,0.000e+0
BIRC6,0.596,0.800,0.000e+0
ANKRD23,0.544,0.799,0.000e+0
ANO6,0.639,0.799,0.000e+0
USP34,0.622,0.795,0.000e+0
PARD3,0.653,0.794,0.000e+0
MYH1,0.759,0.793,0.000e+0
FXR1,0.637,0.792,0.000e+0
BEST3,0.554,0.791,0.000e+0
UBAC1,0.544,0.790,0.000e+0
MAP4K3,0.590,0.787,0.000e+0
ZFHX3,0.620,0.785,0.000e+0
MAT2A,0.606,0.783,0.000e+0
