Fibroblast,Muscle,Circadian,Cell Cycle
AKT1,ACTN3,ARNTL,CCNA1
API5,ANKRD1,ARNTL2,CCNA2
BAG4,ANKRD33,BHLHE41,CCNB1
BAK1,BCL9,CLOCK,CCNB2
BMI1,BHLHE41,CREBBP,CCNC
BRAF,BIN3,CRY1,CCND1
CBL,BMPR1A,CRY2,CCND2
CD74,CAMK2B,CSNK1A1,CCND3
CDC5L,CAPN2,CSNK1D,CCNE1
CDKN1A,CAV3,CSNK1E,CCNE2
CEP57,CFLAR,DBP,CCNF
CORO1C,CHD7,DEC1,CCNG1
CTNNB1,COL19A1,EP300,CCNG2
CUL3,COLQ,FBXL21,CCNH
DSTYK,CTNNB1,HLF,CCNK
FGF1,DDX17,NPAS2,CCNT1
FGF11,DDX5,NR1D1,CCNT2
FGF5,EHD1,NR1D2,CDC123
FGFR2,ENO3,PER1,CDC14A
FGFR3,ETV5,PER2,CDC16
FGFRL1,EVC,PER3,CDC20
FNTB,EYA1,PPARGC1A,CDC23
FRS2,EYS,RORA,CDC25A
FRS3,FAM65B,RORB,CDC25B
FUZ,FER1L5,RORC,CDC25C
GCLM,FGFR2,SKP2,CDC26
GNA12,FGFRL1,TEF,CDC27
GRB2,FNTA,,CDC34
GTF2F2,FOS,,CDC37
HES1,FOXC2,,CDC5L
HNRNPF,GPCPD1,,CDC6
HNRNPH1,GTF2I,,CDC7
HYAL1,GTF2IRD1,,CDC73
IQGAP1,HAND2,,CDCA2
ITGB1BP1,HAS2,,CDCA3
JUN,HDAC9,,CDCA5
KLB,HEYL,,CDCA8
LRIT3,HIVEP3,,CDK10
MED31,HLF,,CDK11B
MORC3,IFRD1,,CDK2
MTA2,IL4R,,CDK2AP1
NDST1,JAG1,,CDK3
NDUFS4,KCNAB1,,CDK4
OSR1,KEL,,CDK5
PDGFA,KLHL31,,CDK5R1
PIK3CA,MSX1,,CDK5R2
PLA2G1B,MTOR,,CDK5RAP1
PML,MYH3,,CDK5RAP3
POLR2B,NET1,,CDK6
POLR2C,NR2C2,,CDK7
POLR2E,NR2F2,,CDK8
POLR2K,OSR1,,CDKN1A
POLR2L,PITX1,,CDKN1B
PRKCE,PTN,,CDKN1C
PTGS2,RAPSN,,CDKN2A
PTPN11,RBM24,,CDKN2B
RAC1,RBM38,,CDKN2C
RBFOX2,RCSD1,,CDKN2D
RFFL,REST,,CDKN3
SDC4,RPS6KB1,,
SETX,SAP30,,
SHISA2,SGCA,,
SHOC2,SIK1,,
SPRY2,SIX1,,
STK17B,SMO,,
TBX1,TBX1,,
THBS1,TEAD4,,
TIA1,TGFBR1,,
TIAL1,THRA,,
TMEM201,TTN,,
TNS1,VAMP5,,
TP53,ZEB1,,
TP53INP1,,,
TRIM32,,,
WNT2,,,
WNT4,,,
WNT5A,,,
