group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,abs_lfc
mmMYOD1,MYOD1,69.67867,32.184513,0.0,0.0,1.0,32.184513
mmMYOD1,ESR1,38.310966,8.280114,0.0,0.0,0.5523944997629208,8.280114
mmMYOD1,ZNF704,7.038711,7.452746,1.940262569199307e-12,1.056262070823675e-11,0.10194404931247036,7.452746
mmMYOD1,BACH2,9.891577,7.3547206,4.52838742504789e-23,3.5032399721362146e-22,0.14366998577524892,7.3547206
mmMYOD1,BOLL,9.413764,6.132032,4.786827816211079e-21,3.4948029788209287e-20,0.1379800853485064,6.132032
mmMYOD1,SP140,6.358303,6.0984735,2.0399460518241584e-10,1.0052012796100074e-09,0.09293504030346135,6.0984735
mmMYOD1,NANOS1,-27.598892,-4.894578,1.1473158108763033e-167,5.300937737262802e-166,0.01422475106685633,4.894578
mmMYOD1,GATA3,3.4486687,4.0595098,0.0005633572610916031,0.0017966877906591856,0.05357989568515884,4.0595098
mmMYOD1,ZSCAN30,35.081253,3.8479772,1.3021264904707171e-269,1.1604217642123737e-267,0.5533428165007113,3.8479772
mmMYOD1,ATF3,31.773733,3.7167616,1.4930366945967657e-221,1.0299896668344961e-219,0.5547652916073968,3.7167616
mmMYOD1,FOSB,-26.619019,-3.680415,4.089366750424839e-156,1.7269126840495583e-154,0.028923660502607872,3.680415
mmMYOD1,TIGD6,12.089065,3.3690324,1.2065186503893546e-33,1.2148628887434748e-32,0.19867235656709342,3.3690324
mmMYOD1,ZNF483,2.7640932,3.345434,0.005708125777201343,0.01606280320403147,0.04504504504504504,3.345434
mmMYOD1,RARB,4.6101747,3.3183556,4.0233075847409095e-06,1.5509801191053243e-05,0.07728781412991939,3.3183556
mmMYOD1,FOS,-47.17845,-3.3161502,0.0,0.0,0.12754860123281175,3.3161502
mmMYOD1,ZNF442,4.8359866,3.2615218,1.3248671731707682e-06,5.283854714212833e-06,0.0820293978188715,3.2615218
mmMYOD1,CREB5,18.245268,3.2543216,2.2563144391671197e-74,4.380048541521164e-73,0.32147937411095306,3.2543216
mmMYOD1,EGR2,2.5381339,3.2343647,0.011144536968934131,0.02988024569336708,0.0431484115694642,3.2343647
mmMYOD1,IKZF2,18.456188,3.1849759,4.6502610021631455e-76,9.14782686694183e-75,0.3134186818397345,3.1849759
mmMYOD1,ZNF462,25.149881,3.110656,1.4174132134350705e-139,5.258498028272746e-138,0.43717401612138457,3.110656
mmMYOD1,ZFHX2,6.0435,3.0911338,1.5080630712634558e-09,7.125455741618767e-09,0.10431484115694642,3.0911338
mmMYOD1,SOX5,11.0206375,3.083135,3.038999954620119e-28,2.7111733830992883e-27,0.18871503082029398,3.083135
mmMYOD1,ZNF433,10.526238,3.0073512,6.539583753677943e-26,5.504680886037076e-25,0.18207681365576103,3.0073512
mmMYOD1,ZNF256,2.4397771,2.8980281,0.01469632587389923,0.038552838103308666,0.04220009483167378,2.8980281
mmMYOD1,FOXP2,4.881999,2.8476498,1.0501583191167154e-06,4.216663635819057e-06,0.0858226647700332,2.8476498
mmMYOD1,ZNF133,14.665602,2.8443696,1.070639496021471e-48,1.394950793931825e-47,0.25889046941678523,2.8443696
mmMYOD1,ZNF670,9.247013,2.838776,2.3085379717003143e-20,1.6432748120329525e-19,0.16880037932669512,2.838776
mmMYOD1,ZNF155,-6.03271,-2.8225987,1.612323402363776e-09,7.603729311109922e-09,0.010905642484589853,2.8225987
mmMYOD1,GADD45A,41.74326,2.7863975,0.0,0.0,0.8392603129445235,2.7863975
mmMYOD1,ZNF438,20.331999,2.770233,6.701487557725266e-92,1.5757619851695408e-90,0.3755334281650071,2.770233
mmMYOD1,ZNF773,7.6954174,2.753783,1.4103294100366246e-14,8.343366190913572e-14,0.1379800853485064,2.753783
mmMYOD1,ZNF610,4.790924,2.7280934,1.6601495663615154e-06,6.572879911592896e-06,0.0858226647700332,2.7280934
mmMYOD1,ZNF732,6.9810596,2.7252169,2.929623723545174e-12,1.5807721888605527e-11,0.12612612612612611,2.7252169
mmMYOD1,DDIT3,30.105867,2.7145438,4.060162982687884e-199,2.353578736399768e-197,0.6348980559506875,2.7145438
mmMYOD1,ZNF554,3.6199243,2.707696,0.00029468925017573554,0.0009665498628553726,0.07349454717875771,2.707696
mmMYOD1,ZNF267,18.78376,2.694825,1.0255326412543861e-78,2.0811497894888442e-77,0.34186818397344715,2.694825
mmMYOD1,RELB,16.352665,2.6881804,4.1636214283109046e-60,6.541117177400356e-59,0.30346135609293506,2.6881804
mmMYOD1,ZNF408,4.3039446,2.6755145,1.6778363150636323e-05,6.149938085746997e-05,0.07918444760550024,2.6755145
mmMYOD1,ZNF841,10.003533,2.6723979,1.470544552836701e-23,1.156212768983883e-22,0.18018018018018017,2.6723979
mmMYOD1,ZNF441,8.061801,2.6621432,7.517862646802566e-16,4.642720503112944e-15,0.1512565196775723,2.6621432
mmMYOD1,SOX15,4.3320417,2.6198337,1.4773290788483874e-05,5.442882858985041e-05,0.07965860597439545,2.6198337
mmMYOD1,NR3C2,4.6168346,2.5858977,3.896374786349675e-06,1.5038997749656067e-05,0.08345187292555714,2.5858977
