shared_all,unique_to_MYODpos,unique_to_PRRX1neg,unique_to_siPRRX1_only,unique_to_mmMYOD1_only,unique_to_HYB
ARG2,CAT,CEBPD,ARID5A,AKR1A1,AR
CD59,CDK2AP1,DAB2,ATF3,ANXA11,CXXC5
CERS2,CREB3L1,GLIS2,ATF4,CANX,FEZ1
CHAMP1,DNAJC21,HIF1A,BATF3,CFL2,FOXF2
DPF2,E2F8,JDP2,BHLHE40,DUSP22,GTF2A1
EPAS1,FOXM1,JUNB,CEBPB,ENO1,HOXC9
FOS,HLTF,KLF16,CEBPG,ETFB,RARG
FOSB,HMG20B,KLF9,EDN1,GTF3A,RXRA
FOXC1,HMGB1,LRRFIP1,EGR1,HDAC1,TFAP2C
HES1,HOXC10,MNT,ELF1,HDAC2,WRNIP1
ID2,KIF22,MXI1,ETS2,HIRIP3,ZNF275
ID4,MBNL2,NFE2L1,FOSL2,HMGB2,ZNF362
IKZF4,MBTPS2,NFIB,HES4,HMGB3,ZNF664
JUND,MSRB3,SMAD1,IRF1,HP1BP3,ZNF706
MAF,MXD3,SMAD7,IRF2,MYBL2,
NANOS1,MXD4,SNAI1,IRF7,NAP1L1,
NFATC4,NUCB1,SOX11,IRX5,PARP1,
NFIX,OSR2,SOX4,JUN,PIR,
NR4A1,P4HB,SRF,KLF10,POLE4,
PCK2,PBX1,TRIB3,KLF13,RBM3,
PHF1,RAB2A,XBP1,KLF2,RNASEH2C,
PHLDA2,RAD21,YY1,KLF3,RPL6,
PRDX5,RPS10,ZNF410,KLF4,RPS4X,
PRRX1,SIX5,ZNF580,KLF6,SOD1,
PRRX2,SMARCA1,,KLF7,TFDP1,
PTPMT1,SMARCC1,,MAFF,TIMELESS,
RB1,SMC3,,MAFG,TWIST1,
RBM17,STUB1,,MAFK,UBB,
SMAD6,UQCRB,,MSC,UGP2,
TEAD3,VAMP3,,NFATC2,YBX1,
THRA,ZNF358,,NFIL3,YWHAZ,
ZDHHC24,ZNF524,,NFKB2,ZNF511,
ZFP91,,,NFYB,,
ZNF155,,,NKX3-1,,
ZNF616,,,NMI,,
ZNF688,,,NR3C1,,
,,,NR4A2,,
,,,NR4A3,,
,,,PLAGL1,,
,,,RARA,,
,,,RNF114,,
,,,SIX1,,
,,,STAT1,,
,,,STAT2,,
,,,TGIF1,,
,,,TRAF4,,
,,,TRIM69,,
,,,VDR,,
,,,ZNF503,,
,,,ZNF700,,
,,,ZNF83,,
