shared_all,unique_to_MYODpos,unique_to_PRRX1neg,unique_to_siPRRX1_only,unique_to_mmMYOD1_only,unique_to_HYB
ABL1,ADNP2,APEX2,ALX3,ADNP,CPSF4
ACO1,AEBP2,ARID3A,ARNT2,AHRR,HES4
ASCC1,AFF4,DMC1,BCLAF1,ARID5A,HTATIP2
ASPSCR1,ATF2,DPF1,CNOT6,ARNT,NMI
BACH2,ATF3,DTL,CSTF2,ATF1,NR5A2
BANP,BACH1,EZR,DGCR8,ATF4,PATZ1
BHLHE41,BATF3,GTF3C2,DNMT1,ATF5,PROX1
BNC2,BCL6,ILF3,ETV1,BCL11A,PSMA6
BOLL,BDP1,LHX9,FAAP24,BHLHE40,SMARCA5
BPTF,CLK1,NFIA,GLI2,CBFB,SOX30
BRF1,CNOT4,PSMC2,GTF2A2,CEBPB,STAT6
C19orf25,CREB1,SOX6,HAND2,CEBPG,TBX18
CBFA2T2,CREB5,SREBF2,HMGA1,CEBPZ,ZBTB37
CCNT2,CREBZF,U2AF1,HMGB3,CNOT3,ZNF19
CHD1,CREM,ZFP90,HNRNPC,DNTTIP1,ZNF382
CHD2,DDIT3,ZIC4,HOXA13,E2F3,ZNF492
CLOCK,DHX36,ZKSCAN7,HOXA7,EGR1,ZNF560
DDX20,EDN1,ZNF41,HOXA9,EGR2,ZNF563
DEAF1,ETS2,ZNF418,ILF2,ELF1,
E2F6,ETV3,ZNF530,IVD,ELF2,
E2F7,ETV4,ZNF76,LAS1L,ELF4,
ESR1,ETV7,ZNF81,MAP4K2,ELK3,
ETV6,FOXO3,ZNF823,MEIS2,EP300,
EWSR1,GADD45A,ZNF836,MIOS,ERF,
EXOSC3,GTF2B,,MLX,ETS1,
FLI1,GTPBP1,,MTHFD1,ETV5,
FOSL1,GZF1,,MXD4,FANK1,
FOXF1,HDX,,NME1,FOSL2,
FOXK2,HIC1,,NNT,FOXD1,
FOXN2,HIVEP1,,NR1H3,FOXK1,
FOXN3,HLX,,OSR1,FOXP1,
FOXO1,HMG20A,,PARP1,GABPB1,
FOXP2,IKZF5,,PAXIP1,GATA3,
FUBP1,ING3,,PKM,GATA6,
GATAD2A,IRF1,,POLD2,GATAD1,
GLIS1,IRF7,,PPARA,GOT1,
GPBP1L1,IRF9,,PPP5C,HEYL,
GTF2I,JAZF1,,PSMD12,HHEX,
GTF2IRD1,JUN,,RAN,HMGXB3,
HDAC8,KDM5A,,RORA,HOMEZ,
HHAT,MAFF,,RUVBL1,IRF2,
HIVEP2,MAFG,,SETBP1,KDM4A,
HIVEP3,MAX,,SF3B1,KDM7A,
HMBOX1,MEF2C,,SIM1,KLF10,
HMGA2,METTL14,,SMAP2,KLF4,
IKZF2,MIEF1,,SMARCC2,KLF5,
JRK,MSX1,,SND1,KLF6,
JRKL,MTERF1,,SSRP1,LARP1,
KDM2A,MTF1,,TBX5,LARP4,
KDM2B,MXD1,,TET1,MAFK,
KDM4C,MYC,,TFAP4,MBD1,
KLF12,MYOD1,,TPI1,MECP2,
KMT2A,NFKB2,,TWIST2,MEF2D,
LCOR,NFYC,,XRCC1,MLXIP,
LCORL,NKX3-1,,YWHAE,MSC,
LUZP1,NR1D1,,ZFP37,MYNN,
MCTP2,ODC1,,ZFP62,NFE2L2,
MDM2,OTUD4,,ZNF174,NFIL3,
MECOM,PML,,ZNF248,PDCD11,
MEF2A,POLR2A,,ZNF287,PHF12,
MEIS1,RBM22,,ZNF337,PHF20,
MGA,REL,,ZNF491,PLAG1,
MITF,RELB,,ZNF540,POLI,
MLLT10,RLF,,ZNF589,PUM3,
MSANTD3,RNF114,,ZNF605,PURA,
MSI2,RUNX1,,ZNF630,R3HDM2,
MTF2,SOX9,,ZNF695,RAB7A,
NCOA1,SP100,,ZNF75D,RBBP5,
